target,is_white,material_diff,rating_diff,mobility_count,king_moved,open_Center Game,open_Kings Pawn Opening 1...e5,open_Kings Pawn Opening Kings Knight Variation,open_Other,open_Scandinavian Defense,open_Scandinavian Defense Mieses Kotrc Variation 3.Nc3,open_Scotch Game
1,1.0,4.0,220,51.0,0.0,False,False,False,True,False,False,False
1,0.0,-1.0,136,38.0,1.0,True,False,False,False,False,False,False
1,1.0,3.0,107,35.0,0.0,False,False,False,True,False,False,False
0,0.0,-4.0,-95,41.0,1.0,False,False,False,True,False,False,False
1,0.0,5.0,164,28.0,0.0,False,False,False,False,False,False,False
0,1.0,-3.0,-70,45.0,1.0,False,True,False,False,False,False,False
0,0.0,-5.0,-58,3.0,0.0,False,False,False,True,False,False,False
1,0.0,0.0,55,35.0,0.0,False,False,True,False,False,False,False
0,1.0,-12.0,-51,3.0,1.0,False,False,False,True,False,False,False
0,0.0,-5.0,-40,4.0,1.0,False,False,False,True,False,False,False
0,1.0,-8.0,-25,39.0,0.0,False,False,False,True,False,False,False
1,1.0,2.0,37,2.0,0.0,False,False,False,True,False,False,False
0,1.0,-3.0,-38,38.0,1.0,False,False,False,True,False,False,False
0,1.0,-3.0,-44,31.0,1.0,False,True,False,False,False,False,False
0,1.0,-12.0,-21,28.0,1.0,False,False,False,False,False,True,False
0,0.0,-4.0,-25,27.0,1.0,False,False,False,True,False,False,False
0,1.0,-9.0,-44,31.0,1.0,False,False,False,True,False,False,False
1,1.0,0.0,79,6.0,1.0,False,False,False,True,False,False,False
1,0.0,12.0,62,49.0,1.0,False,False,False,True,False,False,False
0,0.0,-7.0,-7,33.0,1.0,False,False,False,True,False,False,False
1,0.0,-1.0,42,44.0,1.0,False,False,False,False,False,False,True
1,1.0,-2.0,54,36.0,1.0,False,False,False,True,False,False,False
1,1.0,7.0,119,58.0,1.0,False,False,False,True,False,False,False
0,0.0,-3.0,-196,39.0,1.0,False,False,False,True,False,False,False
1,1.0,0.0,175,59.0,1.0,False,False,False,True,False,False,False
0,1.0,-7.0,-41,28.0,1.0,False,False,False,True,False,False,False
1,1.0,4.0,7,35.0,1.0,False,False,False,False,False,False,True
0,0.0,-2.0,-16,33.0,1.0,False,True,False,False,False,False,False
0,1.0,-9.0,-185,43.0,1.0,False,False,False,True,False,False,False
0,0.0,-2.0,-256,37.0,0.0,False,False,False,True,False,False,False
1,0.0,1.0,219,52.0,1.0,False,False,False,True,False,False,False
0,1.0,1.0,-53,47.0,1.0,False,False,False,True,False,False,False
1,0.0,8.0,26,53.0,1.0,False,False,False,True,False,False,False
1,1.0,8.0,182,48.0,1.0,False,False,False,True,False,False,False
1,0.0,4.0,-6,43.0,1.0,False,False,False,True,False,False,False
1,0.0,13.0,129,53.0,0.0,False,False,False,True,False,False,False
1,0.0,0.0,10,42.0,1.0,False,False,False,True,False,False,False
1,1.0,6.0,3,40.0,0.0,False,False,False,True,False,False,False
0,0.0,-6.0,-29,2.0,1.0,False,False,False,True,False,False,False
1,0.0,-8.0,33,52.0,1.0,False,True,False,False,False,False,False
1,1.0,6.0,79,48.0,1.0,False,False,False,True,False,False,False
1,1.0,-3.0,34,30.0,1.0,False,True,False,False,False,False,False
0,0.0,-4.0,-28,48.0,1.0,False,False,False,True,False,False,False
0,0.0,-15.0,-7,20.0,1.0,False,True,False,False,False,False,False
0,1.0,-1.0,0,35.0,1.0,False,False,False,True,False,False,False
1,1.0,2.0,17,35.0,1.0,False,False,False,True,False,False,False
0,0.0,-6.0,-16,37.0,1.0,False,False,False,True,False,False,False
1,0.0,3.0,38,42.0,1.0,False,False,False,True,False,False,False
0,0.0,-3.0,-10,47.0,0.0,False,False,False,True,False,False,False
1,1.0,3.0,34,49.0,1.0,False,False,False,True,False,False,False
1,0.0,1.0,54,29.0,1.0,False,False,False,True,False,False,False
1,1.0,-5.0,32,29.0,1.0,False,True,False,False,False,False,False
1,0.0,-2.0,13,47.0,1.0,False,False,False,True,False,False,False
1,1.0,4.0,10,44.0,1.0,False,False,False,True,False,False,False
0,0.0,-7.0,-20,40.0,1.0,False,False,False,True,False,False,False
1,1.0,-2.0,28,36.0,1.0,False,False,False,True,False,False,False
0,0.0,-14.0,-17,35.0,1.0,False,False,False,True,False,False,False
1,1.0,3.0,4,49.0,1.0,False,False,False,True,False,False,False
1,1.0,10.0,95,57.0,1.0,False,False,False,True,False,False,False
0,0.0,-1.0,-29,47.0,1.0,False,False,False,False,True,False,False
0,0.0,-6.0,-48,39.0,1.0,False,False,False,False,True,False,False
0,1.0,0.0,-44,36.0,1.0,False,False,False,True,False,False,False
0,0.0,2.0,-1,45.0,1.0,False,False,False,True,False,False,False
0,0.0,-14.0,-4,29.0,0.0,False,False,False,True,False,False,False
0,0.0,0.0,-24,33.0,0.0,False,False,False,True,False,False,False
1,1.0,11.0,71,48.0,1.0,False,False,False,True,False,False,False
1,0.0,0.0,39,39.0,1.0,False,False,False,False,True,False,False
0,1.0,2.0,-28,0.0,1.0,False,False,False,True,False,False,False
1,1.0,4.0,8,39.0,1.0,False,False,False,True,False,False,False
0,0.0,1.0,-25,50.0,1.0,False,False,False,True,False,False,False
1,1.0,10.0,227,43.0,1.0,False,False,False,True,False,False,False
1,1.0,0.0,14,42.0,1.0,True,False,False,False,False,False,False
0,0.0,-6.0,8,7.0,1.0,False,False,False,False,True,False,False
1,1.0,0.0,28,28.0,1.0,False,False,False,True,False,False,False
0,0.0,0.0,-36,31.0,1.0,False,False,False,True,False,False,False
0,0.0,-9.0,-28,32.0,1.0,False,False,False,True,False,False,False
1,1.0,-6.0,15,31.0,1.0,True,False,False,False,False,False,False
0,0.0,-9.0,-16,31.0,1.0,False,False,False,True,False,False,False
0,1.0,0.0,-27,30.0,0.0,False,False,False,True,False,False,False
0,1.0,-1.0,-10,39.0,1.0,False,False,False,True,False,False,False
1,0.0,9.0,7,40.0,1.0,False,False,False,False,True,False,False
1,0.0,4.0,88,45.0,1.0,False,False,False,True,False,False,False
0,1.0,3.0,-26,7.0,1.0,False,False,False,True,False,False,False
0,0.0,-5.0,-21,38.0,1.0,False,False,False,True,False,False,False
1,0.0,3.0,14,35.0,1.0,False,False,False,True,False,False,False
1,0.0,-6.0,56,32.0,1.0,False,True,False,False,False,False,False
0,0.0,-3.0,6,53.0,1.0,False,False,False,True,False,False,False
1,1.0,-3.0,17,41.0,0.0,False,False,False,True,False,False,False
0,1.0,-11.0,-5,30.0,1.0,False,False,True,False,False,False,False
0,0.0,-2.0,-58,31.0,1.0,False,True,False,False,False,False,False
0,1.0,-2.0,-102,37.0,1.0,False,False,False,True,False,False,False
1,1.0,-2.0,20,38.0,1.0,False,False,False,True,False,False,False
0,0.0,-2.0,-2,31.0,1.0,False,False,False,True,False,False,False
0,0.0,-2.0,4,32.0,0.0,False,True,False,False,False,False,False
1,1.0,0.0,19,36.0,1.0,True,False,False,False,False,False,False
1,0.0,-5.0,31,48.0,1.0,False,False,False,True,False,False,False
1,1.0,-9.0,37,24.0,1.0,False,False,False,True,False,False,False
1,0.0,1.0,26,27.0,1.0,False,False,False,True,False,False,False
0,1.0,-4.0,-33,33.0,1.0,False,False,False,True,False,False,False
1,0.0,3.0,24,52.0,0.0,False,False,False,True,False,False,False
0,0.0,1.0,-52,42.0,1.0,False,False,False,True,False,False,False
1,0.0,1.0,6,30.0,0.0,False,False,False,False,True,False,False
1,1.0,-5.0,29,31.0,1.0,False,False,False,True,False,False,False
1,0.0,-8.0,-4,39.0,1.0,False,False,False,False,False,False,False
1,0.0,-3.0,37,53.0,1.0,False,False,False,True,False,False,False
1,1.0,-1.0,13,40.0,1.0,False,False,False,True,False,False,False
1,0.0,-4.0,-5,34.0,1.0,False,False,False,True,False,False,False
1,1.0,2.0,8,37.0,0.0,False,False,False,False,True,False,False
1,1.0,-1.0,34,50.0,1.0,False,False,False,True,False,False,False
0,1.0,-5.0,-34,4.0,0.0,False,False,False,True,False,False,False
1,0.0,8.0,28,35.0,1.0,False,False,False,True,False,False,False
1,0.0,4.0,120,41.0,1.0,False,False,True,False,False,False,False
0,0.0,3.0,-13,47.0,1.0,False,False,False,True,False,False,False
1,1.0,0.0,8,38.0,1.0,False,False,False,True,False,False,False
0,0.0,-3.0,-1,29.0,0.0,False,True,False,False,False,False,False
0,1.0,-5.0,-2,40.0,0.0,False,False,False,False,True,False,False
1,1.0,4.0,45,50.0,1.0,False,False,False,True,False,False,False
1,0.0,-3.0,66,31.0,1.0,False,False,False,False,True,False,False
0,0.0,-1.0,-36,38.0,1.0,False,False,False,True,False,False,False
0,1.0,1.0,-44,28.0,1.0,False,False,False,True,False,False,False
0,0.0,1.0,-33,22.0,0.0,False,False,False,True,False,False,False
0,0.0,0.0,-10,57.0,1.0,False,False,False,True,False,False,False
0,1.0,3.0,-35,46.0,1.0,False,False,False,True,False,False,False
1,0.0,3.0,32,44.0,1.0,False,False,False,True,False,False,False
0,0.0,-4.0,-33,2.0,1.0,False,False,False,False,True,False,False
0,0.0,-1.0,-7,45.0,1.0,False,False,False,True,False,False,False
0,1.0,-1.0,-7,37.0,0.0,False,False,False,True,False,False,False
0,1.0,-1.0,-21,31.0,1.0,False,False,False,True,False,False,False
0,1.0,-3.0,-19,28.0,1.0,False,False,False,True,False,False,False
1,0.0,6.0,30,30.0,1.0,False,False,False,True,False,False,False
0,0.0,0.0,-24,31.0,1.0,False,False,False,True,False,False,False
